municipality,start_date,end_date,active_days,avg_daily,total_cyclists
Aalst,2019-08-08,2025-12-31,2338,1274.5196749358427,2979827.0
Aalter,2022-09-07,2025-12-31,1212,658.585808580858,798206.0
Aarschot,2022-06-22,2025-12-31,1289,732.8921644685803,944698.0
Ardooie,2022-05-10,2025-12-31,1332,259.46996996996995,345614.0
As,2022-05-09,2025-12-31,1333,661.3053263315829,881520.0
Asse,2022-06-20,2025-12-31,1291,175.75600309837336,226901.0
Balen,2019-08-08,2025-12-31,2338,320.7386655260907,749887.0
Beersel,2022-06-20,2025-12-31,1291,126.60418280402789,163446.0
Bertem,2025-09-24,2025-12-31,99,68.43434343434343,6775.0
Beveren,2022-09-13,2025-12-31,1142,439.6602451838879,502092.0
Bilzen,2019-09-02,2025-12-31,2313,265.7124945957631,614593.0
Bokrijk,2022-05-08,2025-12-31,1334,324.7391304347826,433202.0
Brasschaat,2019-08-08,2025-12-31,2338,1370.7224123182207,3204749.0
Brecht,2022-06-27,2025-12-31,1284,375.0038940809969,481505.0
Bree,2020-04-08,2025-12-31,2094,557.1404011461318,1166652.0
Brugge,2019-08-08,2025-12-31,2338,2126.4995722840035,4971756.0
Deinze,2022-08-29,2025-12-31,1221,288.24651924651926,351949.0
Dendermonde,2022-09-11,2025-12-31,1208,2303.110927152318,2782158.0
Diest,2022-07-09,2025-12-31,1272,548.0919811320755,697173.0
Evergem,2019-08-08,2025-12-31,2338,618.0585970915312,1445021.0
Geel,2022-07-03,2025-12-31,1278,1692.6964006259782,2163266.0
Genk,2019-08-08,2025-12-31,2338,160.33832335329342,374871.0
Gent,2019-08-08,2025-12-31,2338,1698.9033361847733,3972036.0
Gierle,2023-01-23,2025-12-31,1074,245.31378026070763,263467.0
Grimbergen,2021-07-22,2025-12-31,1624,325.240763546798,528191.0
Hamme,2022-10-01,2025-12-31,1188,451.300505050505,536145.0
Hasselt,2023-03-27,2025-12-31,1011,5700.940652818991,5763651.0
Heers,2022-03-21,2025-12-31,1382,133.41027496382054,184373.0
Heist op den Berg,2019-08-08,2025-12-31,2338,691.522241231822,1616779.0
Herent,2022-06-14,2025-12-31,1297,1099.674633770239,1426278.0
Herentals,2022-07-01,2025-12-31,1280,1240.8921875,1588342.0
Herk De Stad,2022-03-21,2025-12-31,1382,736.7337192474674,1018166.0
Heverlee,2022-06-14,2025-12-31,1297,1021.5096376252891,1324898.0
Hoeilaart,2025-08-01,2025-12-31,153,310.58169934640523,47519.0
Houthalen-Helchteren,2023-03-29,2025-12-31,1009,436.0128840436075,439937.0
Ieper,2022-06-06,2025-12-31,1305,608.3655172413793,793917.0
Kampenhout,2022-06-13,2025-12-31,1298,697.4845916795069,905335.0
Kortrijk,2019-08-08,2025-12-31,2338,1762.2728828058168,4120194.0
Lanaken,2022-03-22,2025-12-31,1381,632.8573497465604,873976.0
Leuven,2022-06-13,2025-12-31,1298,7395.093990755007,9598832.0
Lier,2022-07-03,2025-09-05,1108,522.2545126353791,578658.0
Lokeren,2022-10-05,2025-12-31,1184,586.0760135135135,693914.0
Lommel,2022-03-27,2025-12-31,1376,538.6933139534884,741242.0
Lummen,2022-03-22,2025-12-31,1381,159.15206372194064,219789.0
Maaseik,2022-04-05,2025-12-31,1367,884.1192392099488,1208591.0
Maasmechelen,2022-03-29,2025-12-31,1374,305.57860262008734,419865.0
Machelen,2019-08-08,2025-12-31,2338,402.57356715141145,941217.0
Malle,2022-07-10,2025-12-31,1271,344.28166797797013,437582.0
Mechelen,2022-07-04,2025-12-31,1277,1668.0986687548943,2130162.0
Melle,2022-09-08,2025-12-31,1211,639.5796862097441,774531.0
Meulebeke,2022-05-10,2025-12-31,1332,169.49174174174175,225763.0
Nevele,2023-01-01,2025-12-31,1096,323.3439781021898,354385.0
Nieuwpoort,2022-06-01,2025-12-31,1310,4600.369465648855,6026484.0
Nijlen,2022-06-30,2025-12-31,1281,619.3739266198282,793418.0
Oostende,2019-08-08,2025-12-31,2338,1277.7442258340461,2987366.0
Opwijk,2025-10-07,2025-12-31,86,206.52325581395348,17761.0
Overijse,2025-04-29,2025-12-31,247,262.1781376518219,64758.0
Peer,2022-03-28,2025-12-31,1375,405.85527272727273,558051.0
Pelt,2022-04-07,2025-12-31,1365,467.85128205128206,638617.0
Pepingen,2022-06-19,2025-12-31,1292,257.3513931888545,332498.0
Retie,2023-01-23,2025-12-31,1074,727.6247672253259,781469.0
Roeselare,2022-06-20,2025-12-31,1291,503.6893880712626,650263.0
St. Pieters Leeuw,2022-07-11,2025-12-31,1270,90.25669291338583,114626.0
Tervuren,2019-08-08,2025-12-31,1939,438.76792160907684,850771.0
Tienen,2019-09-02,2025-12-31,2313,1374.3761348897535,3178932.0
Tongeren,2022-03-21,2025-12-31,1382,121.3191027496382,167663.0
Torhout,2022-05-09,2025-12-31,1333,354.30682670667665,472291.0
Vilvoorde,2022-04-26,2025-12-31,1346,643.5980683506687,866283.0
Wemmel,2022-06-19,2025-12-31,1292,165.95278637770897,214411.0
Wervik,2022-05-13,2025-12-31,1329,975.5613243039879,1296521.0
Westerlo,2022-06-23,2025-12-31,1288,1090.9068322981366,1405088.0
Zaventem,2021-07-14,2025-12-31,1632,903.3890931372549,1474331.0
Zele,2022-09-12,2025-12-31,1207,468.4076222038111,565368.0
Zemst,2022-08-02,2025-12-31,1248,1563.9222756410256,1951775.0
