municipality,hour,avg_cyclists
Aalst,0,0.21085344638302903
Aalst,1,0.14417489956723392
Aalst,2,0.1035594860217609
Aalst,3,0.08996148128125422
Aalst,4,0.1110920565235286
Aalst,5,0.40830298124915687
Aalst,6,1.132708294689982
Aalst,7,4.145085408832605
Aalst,8,5.330702819371375
Aalst,9,2.427381414093722
Aalst,10,2.7080339977739554
Aalst,11,2.989714015917982
Aalst,12,3.6220996897342506
Aalst,13,3.3371612620360533
Aalst,14,4.053171217052564
Aalst,15,5.090976543397245
Aalst,16,6.11674930014503
Aalst,17,4.362817832332906
Aalst,18,2.6805712455107993
Aalst,19,1.8029508473147289
Aalst,20,1.2717002765225602
Aalst,21,0.9692452957442503
Aalst,22,0.7171761452730614
Aalst,23,0.34327250649306845
Aalter,0,0.4447278911564626
Aalter,1,0.26634542705971276
Aalter,2,0.19806671721000757
Aalter,3,0.28732048374905517
Aalter,4,0.536214069591528
Aalter,5,1.7383698940998487
Aalter,6,2.4735249621785176
Aalter,7,7.8125
Aalter,8,6.8057866868381245
Aalter,9,3.7927221172022683
Aalter,10,4.037037037037037
Aalter,11,4.198885109599395
Aalter,12,5.055744520030235
Aalter,13,5.120842781557068
Aalter,14,5.690759637188209
Aalter,15,6.651832955404384
Aalter,16,9.12481103552532
Aalter,17,7.2647392290249435
Aalter,18,4.20578231292517
Aalter,19,2.49848828420257
Aalter,20,1.9450113378684808
Aalter,21,1.83994708994709
Aalter,22,1.4154383975812548
Aalter,23,0.58078231292517
Aarschot,0,0.5520164168451106
Aarschot,1,0.4650249821556031
Aarschot,2,0.3309770937723694
Aarschot,3,0.21315132048536758
Aarschot,4,0.2702606212067119
Aarschot,5,0.9520535714285714
Aarschot,6,2.5024107142857144
Aarschot,7,6.689732142857143
Aarschot,8,13.365089285714285
Aarschot,9,4.260574692129216
Aarschot,10,4.206370449678801
Aarschot,11,4.406406138472519
Aarschot,12,6.633565310492505
Aarschot,13,4.844932191291934
Aarschot,14,5.58779443254818
Aarschot,15,10.343861527480371
Aarschot,16,7.936206281227695
Aarschot,17,6.614917915774447
Aarschot,18,4.205745895788723
Aarschot,19,2.763918629550321
Aarschot,20,2.1488222698072805
Aarschot,21,1.756602426837973
Aarschot,22,1.4134546752319772
Aarschot,23,0.8521591720199857
Ardooie,0,0.08866631980575788
Ardooie,1,0.07054283732223378
