municipality,weekday,hour,avg_cyclists
Aalst,Friday,0,0.2076271186440678
Aalst,Friday,1,0.0999519461797213
Aalst,Friday,2,0.0626179245283019
Aalst,Friday,3,0.061558380414312615
Aalst,Friday,4,0.1129842180774749
Aalst,Friday,5,0.4908278457196613
Aalst,Friday,6,1.2664628410159924
Aalst,Friday,7,4.946613358419567
Aalst,Friday,8,6.085489181561618
Aalst,Friday,9,2.3539510818438383
Aalst,Friday,10,2.534336782690499
Aalst,Friday,11,2.7610536218250235
Aalst,Friday,12,3.2234242709313263
Aalst,Friday,13,3.4074553151458136
Aalst,Friday,14,4.267521166509877
Aalst,Friday,15,5.688734713076199
Aalst,Friday,16,6.49035747883349
Aalst,Friday,17,4.434501411100658
Aalst,Friday,18,2.838428974600188
Aalst,Friday,19,1.9422624647224835
Aalst,Friday,20,1.426505174035748
Aalst,Friday,21,1.0629115710253998
Aalst,Friday,22,0.8752351834430856
Aalst,Friday,23,0.5961900282220132
Aalst,Monday,0,0.1097011385199241
Aalst,Monday,1,0.06399709654004355
Aalst,Monday,2,0.04622148288973384
Aalst,Monday,3,0.05716318785578747
Aalst,Monday,4,0.09237430839547751
Aalst,Monday,5,0.48062381852551983
Aalst,Monday,6,1.348457993619284
Aalst,Monday,7,5.506379962192817
Aalst,Monday,8,6.755671077504726
Aalst,Monday,9,2.136949072432943
Aalst,Monday,10,2.350189035916824
Aalst,Monday,11,2.3285680529300565
Aalst,Monday,12,2.829631379962193
Aalst,Monday,13,3.0399338374291114
Aalst,Monday,14,3.7271975425330814
Aalst,Monday,15,5.83514535570787
Aalst,Monday,16,7.55177304964539
Aalst,Monday,17,4.8652800756322385
Aalst,Monday,18,2.6936894351217204
Aalst,Monday,19,1.683096926713948
Aalst,Monday,20,1.250029540352121
Aalst,Monday,21,1.0076813991964075
Aalst,Monday,22,0.7216446124763705
Aalst,Monday,23,0.2582820634169427
Aalst,Saturday,0,0.4158812441093308
Aalst,Saturday,1,0.3512635379061372
Aalst,Saturday,2,0.2810983548348917
Aalst,Saturday,3,0.22554347826086957
Aalst,Saturday,4,0.1785799952026865
Aalst,Saturday,5,0.20380434782608695
Aalst,Saturday,6,0.4974007561436673
Aalst,Saturday,7,0.5931001890359168
Aalst,Saturday,8,1.3472353497164462
Aalst,Saturday,9,2.4180056710775046
Aalst,Saturday,10,3.3676748582230625
Aalst,Saturday,11,3.61070415879017
Aalst,Saturday,12,3.446124763705104
Aalst,Saturday,13,3.5954857007799577
Aalst,Saturday,14,4.482396030245747
Aalst,Saturday,15,4.134806238185255
Aalst,Saturday,16,3.813445179584121
Aalst,Saturday,17,2.942462192816635
Aalst,Saturday,18,2.104442344045369
Aalst,Saturday,19,1.4855826045852045
Aalst,Saturday,20,0.9864098321909714
Aalst,Saturday,21,0.7368856332703214
Aalst,Saturday,22,0.6158118648073742
Aalst,Saturday,23,0.45723062381852553
Aalst,Sunday,0,0.3439278937381404
Aalst,Sunday,1,0.27523602033405953
Aalst,Sunday,2,0.1872577519379845
Aalst,Sunday,3,0.13459715639810427
Aalst,Sunday,4,0.10091412076016358
Aalst,Sunday,5,0.14370265151515152
Aalst,Sunday,6,0.3294270833333333
Aalst,Sunday,7,0.6008522727272727
Aalst,Sunday,8,2.399502840909091
Aalst,Sunday,9,3.253669507575758
Aalst,Sunday,10,3.2698863636363638
Aalst,Sunday,11,4.156605113636363
Aalst,Sunday,12,3.301846590909091
Aalst,Sunday,13,3.093631628787879
Aalst,Sunday,14,4.1786433053154965
Aalst,Sunday,15,3.9195075757575757
Aalst,Sunday,16,3.7439024390243905
Aalst,Sunday,17,3.094223484848485
Aalst,Sunday,18,2.1905776515151514
Aalst,Sunday,19,1.4809422348484849
Aalst,Sunday,20,1.0589558423108796
Aalst,Sunday,21,0.6730996921619702
Aalst,Sunday,22,0.4648987806321771
Aalst,Sunday,23,0.1865671641791045
Aalst,Thursday,0,0.15197926484448634
Aalst,Thursday,1,0.07603464870067372
Aalst,Thursday,2,0.0512275731822474
Aalst,Thursday,3,0.04147031102733271
Aalst,Thursday,4,0.08436902485659656
Aalst,Thursday,5,0.48812323612417685
Aalst,Thursday,6,1.4049858889934148
Aalst,Thursday,7,5.563095378101846
Aalst,Thursday,8,6.780456255879586
Aalst,Thursday,9,2.287158984007526
Aalst,Thursday,10,2.467897460018815
Aalst,Thursday,11,2.663922859830668
Aalst,Thursday,12,3.045507996237065
Aalst,Thursday,13,3.131585136406397
Aalst,Thursday,14,3.811030103480715
Aalst,Thursday,15,5.638052681091251
Aalst,Thursday,16,7.4143932267168395
Aalst,Thursday,17,5.053739416745061
Aalst,Thursday,18,3.1060677328316086
Aalst,Thursday,19,2.0673800564440263
Aalst,Thursday,20,1.3714722483537158
Aalst,Thursday,21,1.099365004703669
Aalst,Thursday,22,0.8350188146754468
Aalst,Thursday,23,0.36312323612417685
Aalst,Tuesday,0,0.12038904044597319
Aalst,Tuesday,1,0.07287253359157488
Aalst,Tuesday,2,0.05097433460076046
Aalst,Tuesday,3,0.06072106261859583
Aalst,Tuesday,4,0.10875842155919153
Aalst,Tuesday,5,0.5182291666666666
Aalst,Tuesday,6,1.6023910984848484
Aalst,Tuesday,7,6.264086174242424
Aalst,Tuesday,8,7.281841856060606
Aalst,Tuesday,9,2.303503787878788
Aalst,Tuesday,10,2.369343757403459
Aalst,Tuesday,11,2.5482954545454546
Aalst,Tuesday,12,2.886955492424242
Aalst,Tuesday,13,3.175328519000829
Aalst,Tuesday,14,3.7027475130270013
Aalst,Tuesday,15,5.960577719900557
Aalst,Tuesday,16,8.204071969696969
Aalst,Tuesday,17,5.311568488289567
Aalst,Tuesday,18,2.9364872856298048
Aalst,Tuesday,19,1.910467179183915
Aalst,Tuesday,20,1.2897350993377483
Aalst,Tuesday,21,1.1653263954588458
Aalst,Tuesday,22,0.7411305581835383
Aalst,Tuesday,23,0.2358088930936613
Aalst,Wednesday,0,0.12559241706161137
Aalst,Wednesday,1,0.06945788964181994
Aalst,Wednesday,2,0.047127255460588796
Aalst,Wednesday,3,0.04869668246445498
Aalst,Wednesday,4,0.09961455071067213
Aalst,Wednesday,5,0.5316336166194523
Aalst,Wednesday,6,1.4769830028328612
Aalst,Wednesday,7,5.527148253068933
Aalst,Wednesday,8,6.651203966005665
