municipality,month,daily_count
Aalst,April,1449.5047619047618
Aalst,August,1439.1190476190477
Aalst,December,758.5345622119816
Aalst,February,959.4343434343434
Aalst,January,742.741935483871
Aalst,July,1333.8924731182797
Aalst,June,1880.5722222222223
Aalst,March,1333.2903225806451
Aalst,May,1644.1881188118812
Aalst,November,999.8571428571429
Aalst,October,1333.152073732719
Aalst,September,1780.604761904762
Aalter,April,720.725
Aalter,August,838.4086021505376
Aalter,December,427.61290322580646
Aalter,February,575.9026548672566
Aalter,January,432.14516129032256
Aalter,July,720.3548387096774
Aalter,June,948.1333333333333
Aalter,March,649.1370967741935
Aalter,May,797.4722222222222
Aalter,November,522.525
Aalter,October,732.5967741935484
Aalter,September,702.561403508772
Aarschot,April,725.8666666666667
Aarschot,August,683.0806451612904
Aarschot,December,555.0403225806451
Aarschot,February,693.4690265486726
Aarschot,January,590.3387096774194
Aarschot,July,547.9112903225806
Aarschot,June,880.8181818181819
Aarschot,March,804.0564516129032
Aarschot,May,861.5462962962963
Aarschot,November,699.8583333333333
Aarschot,October,844.8629032258065
Aarschot,September,973.7083333333334
Ardooie,April,274.175
Ardooie,August,300.56451612903226
Ardooie,December,187.66935483870967
Ardooie,February,233.36283185840708
Ardooie,January,195.16935483870967
Ardooie,July,274.85483870967744
Ardooie,June,339.0083333333333
Ardooie,March,260.5967741935484
Ardooie,May,228.7153846153846
Ardooie,November,231.24166666666667
Ardooie,October,297.75
Ardooie,September,351.75
As,April,708.1583333333333
As,August,1402.6129032258063
As,December,172.58064516129033
As,February,275.0973451327434
As,January,147.68548387096774
As,July,1122.6532258064517
As,June,910.9666666666667
As,March,477.76612903225805
As,May,681.3560606060606
As,November,299.55
As,October,587.0
As,September,978.7166666666667
Asse,April,194.30833333333334
Asse,August,199.58064516129033
Asse,December,116.28225806451613
Asse,February,142.10619469026548
Asse,January,114.25806451612904
Asse,July,200.44354838709677
Asse,June,211.65346534653466
Asse,March,183.30645161290323
Asse,May,207.67889908256882
Asse,November,149.025
Asse,October,191.41129032258064
Asse,September,234.20833333333334
Balen,April,362.7
Balen,August,415.03809523809525
Balen,December,180.1290322580645
Balen,February,226.76767676767676
Balen,January,172.40092165898616
Balen,July,423.01612903225805
Balen,June,466.00555555555553
Balen,March,318.31336405529953
Balen,May,411.6169154228856
Balen,November,235.11428571428573
Balen,October,305.4377880184332
Balen,September,410.5190476190476
Beersel,April,222.05833333333334
Beersel,August,131.1048387096774
Beersel,December,69.2741935483871
Beersel,February,87.17699115044248
Beersel,January,67.54838709677419
Beersel,July,108.80645161290323
Beersel,June,145.06930693069307
Beersel,March,170.8790322580645
Beersel,May,139.12844036697248
Beersel,November,95.78333333333333
Beersel,October,125.94354838709677
Beersel,September,156.79166666666666
Bertem,April,178.7
Bertem,December,71.6774193548387
Bertem,February,98.46428571428571
Bertem,January,69.12903225806451
Bertem,March,145.25806451612902
Bertem,May,211.75
Bertem,November,88.16666666666667
Bertem,October,61.54838709677419
Bertem,September,0.0
Beveren,April,582.6416666666667
Beveren,August,561.4
Beveren,December,236.66129032258064
Beveren,February,320.716814159292
Beveren,January,234.13709677419354
Beveren,July,440.59139784946234
Beveren,June,612.5888888888888
Beveren,March,542.6612903225806
Beveren,May,588.6481481481482
Beveren,November,345.25
Beveren,October,719.0430107526881
Beveren,September,680.2051282051282
Bilzen,April,296.74285714285713
Bilzen,August,334.747311827957
Bilzen,December,169.0921658986175
Bilzen,February,192.04545454545453
Bilzen,January,148.61290322580646
Bilzen,July,295.83870967741933
Bilzen,June,385.6666666666667
Bilzen,March,261.6543778801843
Bilzen,May,323.44059405940595
Bilzen,November,215.07142857142858
