municipality,weather_variable,correlation
Aalst,temperature,0.474836073489119
Aalst,precipitation,-0.3505096844517206
Aalst,wind_speed,-0.39872093544566295
Aalst,sunshine_duration,0.5269224966165142
Aalst,precipitation_hours,-0.4686856781414094
Aalter,temperature,0.4479693296965806
Aalter,precipitation,-0.37923522507131147
Aalter,wind_speed,-0.3193611947348562
Aalter,sunshine_duration,0.5140668395229101
Aalter,precipitation_hours,-0.46184138216749115
Aarschot,temperature,0.17563275421944377
Aarschot,precipitation,-0.23469959288650666
Aarschot,wind_speed,-0.22433268233695833
Aarschot,sunshine_duration,0.25725209607249244
Aarschot,precipitation_hours,-0.3053631963977273
Ardooie,temperature,0.2696076390163098
Ardooie,precipitation,-0.27017672463672654
Ardooie,wind_speed,-0.2750076552512545
Ardooie,sunshine_duration,0.30164790589229346
Ardooie,precipitation_hours,-0.3300735908222149
As,temperature,0.6054507166151631
As,precipitation,-0.29006214835506366
As,wind_speed,-0.35132515271716097
As,sunshine_duration,0.608109531842547
As,precipitation_hours,-0.42700169708127583
Asse,temperature,0.22572953610041763
Asse,precipitation,-0.17975186943942062
Asse,wind_speed,-0.15790010226549706
Asse,sunshine_duration,0.22966300298697434
Asse,precipitation_hours,-0.21987344585915022
Balen,temperature,0.5932203575527139
Balen,precipitation,-0.34294780333218344
Balen,wind_speed,-0.4128203870806382
Balen,sunshine_duration,0.6491020720337399
Balen,precipitation_hours,-0.4978363512902864
Beersel,temperature,0.17662975816509002
Beersel,precipitation,-0.08253621627302399
Beersel,wind_speed,-0.016786417661096103
Beersel,sunshine_duration,0.19185026304446312
Beersel,precipitation_hours,-0.09196886666735414
Bertem,temperature,0.3361534917969357
Bertem,precipitation,-0.24422146256546298
Bertem,wind_speed,-0.21247927332081162
Bertem,sunshine_duration,0.5290207770446282
Bertem,precipitation_hours,-0.2946584975326175
Beveren,temperature,0.323518005514929
Beveren,precipitation,-0.2837114780410091
Beveren,wind_speed,-0.2681647756920918
Beveren,sunshine_duration,0.37379489026106766
Beveren,precipitation_hours,-0.33514760331017757
Bilzen,temperature,0.5016226320630851
Bilzen,precipitation,-0.28134489442888777
Bilzen,wind_speed,-0.3440351050738163
Bilzen,sunshine_duration,0.5209919223063297
Bilzen,precipitation_hours,-0.4010449711609297
Bokrijk,temperature,0.43136031467821223
Bokrijk,precipitation,-0.2641709237419871
Bokrijk,wind_speed,-0.2586681774593244
Bokrijk,sunshine_duration,0.49348950753779597
Bokrijk,precipitation_hours,-0.3630912225513704
Brasschaat,temperature,0.29340740110736857
Brasschaat,precipitation,-0.23672067885188336
Brasschaat,wind_speed,-0.27451333063470806
Brasschaat,sunshine_duration,0.30698397991090043
Brasschaat,precipitation_hours,-0.3091112395890219
