municipality,weekday,daily_count
Aalst,Friday,1372.3672316384182
Aalst,Monday,1356.71388101983
Aalst,Saturday,1008.5141242937854
Aalst,Sunday,1013.8243626062323
Aalst,Thursday,1413.680790960452
Aalst,Tuesday,1452.0764872521247
Aalst,Wednesday,1447.4390934844193
Aalter,Friday,697.4507772020726
Aalter,Monday,695.46875
Aalter,Saturday,458.5572916666667
Aalter,Sunday,431.0104166666667
Aalter,Thursday,726.8134715025907
Aalter,Tuesday,783.21875
Aalter,Wednesday,824.5595854922279
Aarschot,Friday,811.6911764705883
Aarschot,Monday,811.4137931034483
Aarschot,Saturday,446.55172413793105
Aarschot,Sunday,424.13793103448273
Aarschot,Thursday,889.1274509803922
Aarschot,Tuesday,906.4827586206897
Aarschot,Wednesday,849.156862745098
Ardooie,Friday,309.16190476190474
Ardooie,Monday,300.32535885167465
Ardooie,Saturday,150.41148325358853
Ardooie,Sunday,119.21052631578948
Ardooie,Thursday,313.6904761904762
Ardooie,Tuesday,330.2142857142857
Ardooie,Wednesday,325.9047619047619
As,Friday,532.4666666666667
As,Monday,500.6190476190476
As,Saturday,748.5666666666667
As,Sunday,980.755980861244
As,Thursday,605.5761904761905
As,Tuesday,590.2380952380952
As,Wednesday,587.347619047619
Asse,Friday,187.8186274509804
Asse,Monday,189.87254901960785
Asse,Saturday,107.92647058823529
Asse,Sunday,129.4630541871921
Asse,Thursday,221.0686274509804
Asse,Tuesday,206.24019607843138
Asse,Wednesday,203.5
Balen,Friday,324.1553672316384
Balen,Monday,327.3059490084986
Balen,Saturday,272.05949008498584
Balen,Sunday,295.9943342776204
Balen,Thursday,335.3954802259887
Balen,Tuesday,355.3399433427762
Balen,Wednesday,356.8838526912181
Beersel,Friday,126.20098039215686
Beersel,Monday,128.37745098039215
Beersel,Saturday,103.79411764705883
Beersel,Sunday,109.52216748768473
Beersel,Thursday,133.3578431372549
Beersel,Tuesday,141.77450980392157
Beersel,Wednesday,140.5735294117647
Bertem,Friday,96.91176470588235
Bertem,Monday,91.27272727272727
Bertem,Saturday,79.79411764705883
Bertem,Sunday,128.03030303030303
Bertem,Thursday,107.79411764705883
Bertem,Tuesday,112.03030303030303
Bertem,Wednesday,127.05882352941177
Beveren,Friday,520.0218579234972
Beveren,Monday,498.6098901098901
Beveren,Saturday,326.1923076923077
Beveren,Sunday,321.8901098901099
Beveren,Thursday,514.2967032967033
Beveren,Tuesday,579.7868852459017
Beveren,Wednesday,545.5027322404371
Bilzen,Friday,296.7685714285714
Bilzen,Monday,293.9114285714286
Bilzen,Saturday,204.61714285714285
Bilzen,Sunday,177.0057306590258
Bilzen,Thursday,284.2457142857143
Bilzen,Tuesday,301.03714285714284
Bilzen,Wednesday,330.3514285714286
Bokrijk,Friday,325.9190476190476
Bokrijk,Monday,340.44761904761907
Bokrijk,Saturday,247.1904761904762
Bokrijk,Sunday,269.23333333333335
Bokrijk,Thursday,367.23809523809524
Bokrijk,Tuesday,376.62857142857143
Bokrijk,Wednesday,360.23333333333335
Brasschaat,Friday,1542.319209039548
Brasschaat,Monday,1585.8753541076487
Brasschaat,Saturday,901.5864022662889
Brasschaat,Sunday,724.4900849858357
Brasschaat,Thursday,1629.268361581921
Brasschaat,Tuesday,1709.4504249291786
Brasschaat,Wednesday,1626.1076487252124
Brecht,Friday,364.9605911330049
Brecht,Monday,373.2758620689655
Brecht,Saturday,258.1625615763547
Brecht,Sunday,336.83168316831683
Brecht,Thursday,425.69950738916253
Brecht,Tuesday,434.58128078817737
Brecht,Wednesday,418.7733990147783
Bree,Friday,682.0626959247649
Bree,Monday,634.6666666666666
Bree,Saturday,322.8207547169811
Bree,Sunday,302.6352201257862
Bree,Thursday,630.5423197492163
Bree,Tuesday,664.8207547169811
Bree,Wednesday,661.9686520376175
Brugge,Friday,2304.146892655367
Brugge,Monday,2254.2946175637394
Brugge,Saturday,1761.1214689265537
Brugge,Sunday,1616.2691218130312
Brugge,Thursday,2373.5819209039546
Brugge,Tuesday,2389.685552407932
Brugge,Wednesday,2490.6458923512746
Deinze,Friday,299.4072164948454
Deinze,Monday,325.17525773195877
Deinze,Saturday,158.4278350515464
Deinze,Sunday,172.22279792746113
Deinze,Thursday,341.41237113402065
Deinze,Tuesday,362.8814432989691
Deinze,Wednesday,369.64948453608247
Dendermonde,Friday,2502.6041666666665
Dendermonde,Monday,2588.3333333333335
