municipality,year,daily_count
Aalst,2019,909.431506849315
Aalst,2020,1088.688524590164
Aalst,2021,1040.295890410959
Aalst,2022,1284.2356164383561
Aalst,2023,1277.372602739726
Aalst,2024,1383.9918032786886
Aalst,2025,1718.7780821917809
Aalst,2026,1645.4191176470588
Aalter,2022,472.7844827586207
Aalter,2023,676.5753424657535
Aalter,2024,660.7923497267759
Aalter,2025,697.4328767123287
Aalter,2026,670.5333333333333
Aarschot,2022,649.5958549222798
Aarschot,2023,734.6520547945205
Aarschot,2024,744.9344262295082
Aarschot,2025,763.1013698630137
Aarschot,2026,748.0
Ardooie,2022,217.57627118644066
Ardooie,2023,223.0986301369863
Ardooie,2024,249.81420765027323
Ardooie,2025,332.61095890410957
Ardooie,2026,311.77037037037036
As,2022,685.789029535865
As,2023,564.5013698630137
As,2024,632.7349726775956
As,2025,770.8602739726027
As,2026,529.9191176470588
Asse,2022,139.46666666666667
Asse,2023,162.47123287671232
Asse,2024,180.28961748633878
Asse,2025,203.88219178082193
Asse,2026,199.49264705882354
Balen,2019,204.26712328767124
Balen,2020,263.8606557377049
Balen,2021,240.36438356164385
Balen,2022,319.6958904109589
Balen,2023,357.65205479452055
Balen,2024,370.7049180327869
Balen,2025,418.76164383561644
Balen,2026,378.3037037037037
Beersel,2022,104.13846153846154
Beersel,2023,108.34794520547945
Beersel,2024,162.10109289617486
Beersel,2025,121.26849315068493
Beersel,2026,122.78676470588235
Bertem,2025,68.43434343434343
Bertem,2026,133.47058823529412
Beveren,2022,473.6818181818182
Beveren,2023,496.36164383561646
Beveren,2024,0.0
Beveren,2025,736.4794520547945
Beveren,2026,750.3703703703703
Bilzen,2019,165.07438016528926
Bilzen,2020,212.11748633879782
Bilzen,2021,193.53150684931506
Bilzen,2022,233.32602739726028
Bilzen,2023,298.2027397260274
Bilzen,2024,326.59016393442624
Bilzen,2025,363.8493150684931
Bilzen,2026,338.29411764705884
Bokrijk,2022,390.15966386554624
Bokrijk,2023,352.76438356164385
Bokrijk,2024,349.9754098360656
Bokrijk,2025,228.75068493150684
Bokrijk,2026,345.91911764705884
Brasschaat,2019,1160.376712328767
Brasschaat,2020,1069.8060109289618
Brasschaat,2021,1095.1068493150685
Brasschaat,2022,1400.4164383561645
Brasschaat,2023,1507.8082191780823
Brasschaat,2024,1536.5601092896175
Brasschaat,2025,1699.145205479452
Brasschaat,2026,1698.2518518518518
Brecht,2022,326.9095744680851
Brecht,2023,359.1287671232877
Brecht,2024,364.62295081967216
Brecht,2025,426.0602739726027
Brecht,2026,356.2647058823529
