municipality,latitude,longitude
Aalst,50.9383226,4.0392147
Aalter,51.083894,3.4485192
Aarschot,50.9842743,4.836429
Ardooie,50.9797876,3.1974259
As,51.0063339,5.5831347
Asse,50.9094333,4.2015646
Balen,51.1707551,5.1696859
Beersel,50.7477333,4.3065648
Bertem,50.8547736,4.5954061
Beveren,51.212611,4.2577808
Bilzen,50.8707787,5.5181089
Bokrijk,50.9630827,5.4030747
Brasschaat,51.2900693,4.4917295
Brecht,51.3484804,4.6398673
Bree,51.1416131,5.5974552
Brugge,51.2085526,3.226772
Deinze,50.9841863,3.5270391
Dendermonde,51.0312293,4.098112
Diest,50.9963227,5.054356
Evergem,51.1087891,3.7078565
Geel,51.1610826,4.9903187
Genk,50.9654864,5.5001456
Gent,51.0538286,3.7250121
Gierle,51.2675145,4.867558
Grimbergen,50.9457843,4.3890967
Hamme,51.0977642,4.1377229
Hasselt,50.9303735,5.3378043
Heers,50.750995,5.3017509
Heist op den Berg,51.0759905,4.7286753
Herent,50.9123956,4.6517402
Herentals,51.1765426,4.8362595
Herk De Stad,50.9406957,5.1659696
Heverlee,50.8645908,4.6937736
Hoeilaart,50.7674846,4.474407
Houthalen-Helchteren,51.0566984,5.3830618
Ieper,50.8521947,2.8846047
Kampenhout,50.9413315,4.5495668
Kortrijk,50.8276429,3.2659884
Lanaken,50.8892784,5.6513208
Leuven,50.879202,4.7011675
Lier,51.131069,4.5696516
Lokeren,51.1044488,3.9898689
Lommel,51.2305657,5.3076895
Lummen,50.9862157,5.1918579
Maaseik,51.0947181,5.791733
Maasmechelen,50.9634179,5.6960212
Machelen,50.9015217,4.4467847
Malle,51.2968544,4.693771
Mechelen,51.0281381,4.4803453
Melle,51.00303,3.7988833
Meulebeke,50.9498382,3.2888527
Nevele,51.0330372,3.5491068
Nieuwpoort,51.1294306,2.751666
Nijlen,51.1610023,4.6702859
Oostende,51.2258565,2.919496
Opwijk,50.9690529,4.1896665
Overijse,50.7676883,4.5571186
Peer,51.1319137,5.4546268
Pelt,51.2197672,5.4299496
Pepingen,50.7598483,4.1576993
Retie,51.2675862,5.0843883
Roeselare,50.9449511,3.1243935
St. Pieters Leeuw,50.7800261,4.2443604
Tervuren,50.8241883,4.5138824
Tienen,50.8074825,4.9371775
Tongeren,50.7806267,5.4639172
Torhout,51.0647837,3.1016415
Vilvoorde,50.928711,4.423126
Wemmel,50.9087716,4.3034586
Wervik,50.7782244,3.0439698
Westerlo,51.086694,4.9168675
Zaventem,50.8806207,4.4730008
Zele,51.0671633,4.0323895
Zemst,50.9842166,4.4650814
