municipality,site_id,total_cyclists,latitude,longitude
Aalst,10,747680.0,50.9383226,4.0392147
Aalst,11,1040344.0,50.9383226,4.0392147
Aalst,19,1424008.0,50.9383226,4.0392147
Aalter,115,888728.0,51.083894,3.4485192
Aarschot,87,1045678.0,50.9842743,4.836429
Ardooie,59,201808.0,50.9797876,3.1974259
Ardooie,60,185895.0,50.9797876,3.1974259
As,48,953589.0,51.0063339,5.5831347
Asse,85,135721.0,50.9094333,4.2015646
Asse,86,118311.0,50.9094333,4.2015646
Balen,4,384199.0,51.1707551,5.1696859
Balen,5,419330.0,51.1707551,5.1696859
Beersel,82,96046.0,50.7477333,4.3065648
Beersel,83,84099.0,50.7477333,4.3065648
Bertem,150,24927.0,50.8547736,4.5954061
Beveren,123,125628.0,51.212611,4.2577808
Beveren,124,477764.0,51.212611,4.2577808
Bilzen,21,661738.0,50.8707787,5.5181089
Bokrijk,49,480247.0,50.9630827,5.4030747
Brasschaat,2,1789187.0,51.2900693,4.4917295
Brasschaat,3,1653345.0,51.2900693,4.4917295
Brecht,90,264500.0,51.3484804,4.6398673
Brecht,91,265457.0,51.3484804,4.6398673
Bree,25,1242021.0,51.1416131,5.5974552
Brugge,20,1486653.0,51.2085526,3.226772
Brugge,50,728292.0,51.2085526,3.226772
Brugge,51,926152.0,51.2085526,3.226772
Brugge,52,884574.0,51.2085526,3.226772
Brugge,53,722922.0,51.2085526,3.226772
Brugge,54,623758.0,51.2085526,3.226772
Deinze,113,312181.0,50.9841863,3.5270391
Deinze,114,81307.0,50.9841863,3.5270391
Dendermonde,122,967953.0,51.0312293,4.098112
Dendermonde,125,2099857.0,51.0312293,4.098112
Diest,101,424973.0,50.9963227,5.054356
Diest,102,341424.0,50.9963227,5.054356
Evergem,6,776988.0,51.1087891,3.7078565
Evergem,7,740624.0,51.1087891,3.7078565
Geel,97,517987.0,51.1610826,4.9903187
Geel,98,510030.0,51.1610826,4.9903187
Geel,112,735575.0,51.1610826,4.9903187
Geel,127,637113.0,51.1610826,4.9903187
